VOLKRAJ;KSTRANA;PORCISLO;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;PLATNOST;POCHLASU;POCPROC;POCPROCVSE;MANDAT;PORADIMAND;PORADINAHR
2;7;23;"Petr";"Šibrava";"";"";58;"starosta Sázavy";"Sázava";534382;166;166;"A";360;0;.67;"N";0;21
2;7;24;"Milan";"Vácha";"";"";41;"starosta Psár, projektovı manaer";"Psáry";539597;99;166;"A";309;0;.57;"N";0;22
2;7;25;"Hana";"Hajná";"";"";56;"starostka Krouèové, policistka";"Krouèová";541940;166;166;"A";298;0;.55;"N";0;23
2;7;26;"Petr";"Digrin";"Ing.";"Ph.D.";47;"starosta, kastelán - správce památkového objektu";"Mníšek pod Brdy";540765;99;166;"A";599;0;1.12;"N";0;24
2;7;27;"Rudolf";"Semanskı";"";"";49;"èlen, starosta Mukaøova, grafik";"Mukaøov";538523;166;166;"A";216;0;.4;"N";0;25
2;7;28;"Petr";"Boreckı";"Mgr.";"";44;"starosta Úval";"Úvaly";538957;99;166;"A";234;0;.43;"N";0;26
2;7;29;"Václav";"Hrabì";"";"";48;"místostarosta Sedlce, soukromı zemìdìlec";"Sedlec";529591;166;166;"A";197;0;.36;"N";0;27
2;7;30;"Martin";"Kadrnoka";"Mgr.";"";44;"starosta Tınce nad Sázavou, uèitel";"Tınec nad Sázavou";530841;99;166;"A";348;0;.65;"N";0;28
2;7;31;"Jaroslav";"Pošta";"Mgr.";"";55;"starosta Tuchlovic, uèitel";"Tuchlovice";532983;99;166;"A";222;0;.41;"N";0;29
2;7;32;"Markéta";"Balková";"";"";43;"starostka Hvoïan-Vesnice Støedoèes. kraje r. 2017";"Hvoïany";540315;99;166;"A";435;0;.81;"N";0;30
2;7;33;"Jan";"Jiskra";"";"";51;"star. Starkoèe, specialista na rozvoj Mikroregionu";"Starkoè";530875;166;166;"A";218;0;.4;"N";0;31
2;8;1;"Stanislav";"Grospiè";"JUDr.";"";53;"právník";"Mladá Boleslav";535419;47;47;"A";3366;7.05;7.05;"A";1;0
2;8;2;"Miloslava";"Vostrá";"Ing.";"";52;"ekonomka";"Braškov";532126;47;47;"A";1834;0;3.84;"A";2;0
2;8;3;"Jan";"Klán";"Mgr.";"";34;"sociolog";"Záboøí nad Labem";534595;47;47;"A";1405;0;2.94;"N";0;1
2;8;4;"Pavel";"Hubenı";"";"";63;"starosta obce Hudlice";"Hudlice";531227;47;47;"A";1167;0;2.44;"N";0;2
2;8;5;"Tereza";"Èechová Humpolcová";"Mgr. Ing.";"Ph.D.";30;"vedoucí analytického oddìlení";"Tišice";535222;47;47;"A";1148;0;2.4;"N";0;3
2;8;6;"Zdenìk";"Štefek";"Ing.";"";42;"vedoucí IT oddìlení";"Buštìhrad";532169;47;47;"A";1011;0;2.11;"N";0;4
2;8;7;"Josef";"Hála";"RSDr.";"";64;"starosta mìstyse Jince";"Jince";540404;47;47;"A";1311;0;2.74;"N";0;5
2;8;8;"Miroslav";"Matyáš";"Bc.";"";41;"øeditel spoleènosti pro úklid a údrbu";"Praha";1;47;47;"A";251;0;.52;"N";0;6
2;8;9;"David";"Kváè";"Ing.";"";36;"elektrotechnik";"Lysá nad Labem";537454;47;47;"A";630;0;1.32;"N";0;7
2;8;10;"Dana";"Bechynská";"Ing.";"";62;"soudní znalkynì";"Kounov";541907;99;47;"A";396;0;.83;"N";0;8
2;8;11;"Michal";"Budlovskı";"";"";50;"stavební technik";"Benešov";529303;47;47;"A";434;0;.9;"N";0;9
2;8;12;"Jiøí";"Urban";"Bc.";"";47;"ministerskı rada";"Vrbèany";533891;47;47;"A";297;0;.62;"N";0;10
2;8;13;"Rudolf";"Fidler";"";"";43;"soukromı zemìdìlec";"Mìlník";534676;47;47;"A";749;0;1.57;"N";0;11
2;8;14;"Jan";"Machálek";"Ing.";"";27;"OSVÈ - zprostøedkování obchodu a slueb";"Slanı";532819;47;47;"A";467;0;.97;"N";0;12
2;8;15;"Petra";"Chaloupková";"";"";42;"celní deklarantka";"Hudlice";531227;99;47;"A";539;0;1.13;"N";0;13
2;8;16;"Karel";"Turanskı";"Bc.";"";22;"bankovní úøedník";"Kladno";532053;47;47;"A";441;0;.92;"N";0;14
2;8;17;"Josef";"Dovolil";"Ing.";"";60;"technik";"Mladá Boleslav";535419;47;47;"A";426;0;.89;"N";0;15
2;8;18;"Lenka";"Bochníèková";"";"";53;"ivnostnice - zakázkové krejèovství";"Vrdy";534587;47;47;"A";383;0;.8;"N";0;16
2;8;19;"Ivan";"Cinka";"Mgr.";"";60;"zástupce šéfredaktora";"Benešov";529303;47;47;"A";481;0;1;"N";0;17
2;8;20;"Luboš";"Kudrna";"MVDr.";"";56;"odbornı veterinární rada";"Hostivice";539244;47;47;"A";329;0;.68;"N";0;18
2;8;21;"Jindøich";"Havelka";"Mgr.";"DiS.";43;"øidiè - záchranáø";"Trhové Dušníky";598429;47;47;"A";851;0;1.78;"N";0;19
2;8;22;"Jiøí";"Hanák";"Dr. Ing.";"";65;"OSVÈ v oboru poradenství";"Prùhonice";539571;47;47;"A";276;0;.57;"N";0;20
2;8;23;"Pavel";"Posolda";"Ing.";"";58;"projektovı manaer";"Øíèany";538728;47;47;"A";244;0;.51;"N";0;21
2;8;24;"Karel";"Brich";"";"";41;"operátor logistiky";"Mladá Boleslav";535419;47;47;"A";325;0;.68;"N";0;22
2;8;25;"Magdalena";"Lahodová";"Dr. Ing.";"";46;"vedoucí laboratoøí";"Druec";532274;99;47;"A";220;0;.46;"N";0;23
2;8;26;"Rudolf";"Carvan";"Bc.";"";61;"státní zamìstnanec";"Kladno";532053;99;47;"A";262;0;.54;"N";0;24
2;8;27;"Lenka";"Grygarová";"Mgr. Bc.";"";49;"úøednice";"Èelákovice";538132;99;47;"A";233;0;.48;"N";0;25
2;8;28;"Martin";"Krajdl";"";"";37;"elektrotechnik";"Roztoky";539627;47;47;"A";260;0;.54;"N";0;26
2;8;29;"Romana";"Prchalová Hocková";"";"";45;"ekonomka";"Benešov";529303;47;47;"A";359;0;.75;"N";0;27
2;8;30;"Stanislav";"Hejduk";"";"";61;"technik";"Kralupy nad Vltavou";534951;47;47;"A";444;0;.93;"N";0;28
2;8;31;"Josef";"Kukla";"Mgr.";"";53;"místostarosta obce Nelahozeves";"Nelahozeves";535079;99;47;"A";238;0;.49;"N";0;29
2;8;32;"Rudolf";"Peltan";"JUDr.";"";74;"státní zamìstnanec";"Zdice";532011;47;47;"A";156;0;.32;"N";0;30
2;8;33;"Boris";"Podhorskı";"";"";46;"OSVÈ - obchodní èinnost";"Èeskı Brod";533271;47;47;"A";135;0;.28;"N";0;31
2;8;34;"Jindøiška";"Václavù";"JUDr.";"";61;"právnièka";"Zásmuky";533921;99;47;"A";186;0;.38;"N";0;32
2;9;1;"Petr";"Štìpánek";"Mgr.";"CSc.";52;"starosta, pøírodovìdec";"Praha";1;5;5;"A";577;6.12;6.12;"N";0;0
2;9;2;"Magdalena";"Davis";"Mgr.";"Ph.D.";41;"bioloka";"Mníšek pod Brdy";540765;5;5;"A";629;6.68;6.68;"N";0;0
2;9;3;"Jiøí";"Èejka";"Ing.";"";63;"aplikaèní specialista pro zdravotnictví";"Semèice";536610;5;5;"A";214;0;2.27;"N";0;0
2;9;4;"Jana";"Krumpholcová";"Ing.";"";37;"koordinátorka lesní školky";"Mladá Boleslav";535419;5;5;"A";484;5.14;5.14;"N";0;0
2;9;5;"Martin";"Mach";"Ing.";"";49;"starosta, ekonom";"Mšeno";535052;5;5;"A";197;0;2.09;"N";0;0
2;9;6;"Jana";"Zùnová";"Mgr.";"";38;"uèitelka, speciální pedagog";"Slanı";532819;5;5;"A";264;0;2.8;"N";0;0
2;9;7;"Jan";"Cemper";"";"";31;"chemik a obèanskı aktivista";"Kolín";533165;5;5;"A";169;0;1.79;"N";0;0
2;9;8;"Daniela";"Göttelová";"Ing.";"";52;"lektorka kurzù pro dìti a seniory";"Èernošice";539139;99;5;"A";194;0;2.06;"N";0;0
2;9;9;"Ondøej";"Vaculík";"";"";63;"místostarosta, publicista";"Hoøovice";531189;99;5;"A";86;0;.91;"N";0;0
2;9;10;"Alena";"Šálová";"Ing.";"";58;"OSVÈ";"Pøíbram";539911;5;5;"A";63;0;.66;"N";0;0
2;9;11;"Eva";"Èešpivová";"";"";45;"lektor komunitního a individualiz. vzdìl., tlumoè.";"Kladno";532053;5;5;"A";135;0;1.43;"N";0;0
2;9;12;"Milan";"Sailer";"Ing.";"";54;"ekonom";"Beroun";531057;5;5;"A";58;0;.61;"N";0;0
2;9;13;"Iva";"Kofroòová";"Mgr. Ing.";"";52;"vedoucí daòové kanceláøe";"Maršovice";530115;5;5;"A";51;0;.54;"N";0;0
2;9;14;"Vladimír";"Vedral";"Ing.";"";49;"projektovı manaer";"Milovice";537501;5;5;"A";33;0;.35;"N";0;0
2;9;15;"David";"Hynek";"";"";42;"vırobce regálovıch systémù";"ehušice";534650;5;5;"A";31;0;.32;"N";0;0
2;9;16;"Kateøina";"Pazderù";"Ing.";"Ph.D.";44;"VŠ pedagog";"Zákolany";533092;5;5;"A";125;0;1.32;"N";0;0
2;9;17;"Stanislav";"Chmela";"Bc.";"";31;"logistik";"Dobrovice";535672;5;5;"A";38;0;.4;"N";0;0
2;9;18;"Petr";"Bro";"Mgr.";"Ph.D.";33;"vìdeckı pracovník";"Jesenice";539325;5;5;"A";134;0;1.42;"N";0;0
2;9;19;"Michaela";"Payeur";"";"";40;"bankovní administrátor";"Mìlnické Vtelno";535044;5;5;"A";26;0;.27;"N";0;0
2;9;20;"Michal";"Karásek";"";"";40;"produktovı manaer obnovitelnıch zdrojù";"Církvice";599476;5;5;"A";38;0;.4;"N";0;0
2;9;21;"Jakub";"Špetlák";"Ing.";"";43;"stavební inenır";"Èernošice";539139;5;5;"A";30;0;.31;"N";0;0
2;9;22;"Jana";"Klemešová";"";"";44;"OSVÈ";"Dobrovice";535672;5;5;"A";24;0;.25;"N";0;0
2;9;23;"Václav";"Vidím";"";"";24;"student";"Jesenice";539325;5;5;"A";103;0;1.09;"N";0;0
2;9;24;"František";"Verner";"";"";32;"referent odbytu";"Kosmonosy";570826;5;5;"A";26;0;.27;"N";0;0
2;9;25;"Narcisa";"Podhradská";"RNDr.";"";61;"odborná knihovnice";"Praha";1;5;5;"A";59;0;.62;"N";0;0
2;9;26;"Marek";"Fajfr";"Mgr.";"Ph.D.";36;"pedagog";"Benátky nad Jizerou";535451;5;5;"A";100;0;1.06;"N";0;0
2;9;27;"Pavel";"Hrabec";"";"";50;"strojní mechanik";"Jílové u Prahy";539333;99;5;"A";27;0;.28;"N";0;0
2;9;28;"Jana";"Vidímová";"Ing.";"";54;"podnikatelka v cestovním ruchu, kronikáøka";"Jesenice";539325;5;5;"A";68;0;.72;"N";0;0
2;9;29;"Robert";"Šenk";"Ing.";"";40;"vedoucí odd. a lesník na Správì CHKO Kokoøínsko";"Mìlník";534676;5;5;"A";150;0;1.59;"N";0;0
2;9;30;"Luboš";"Koíšek";"Mgr.";"";31;"pracovník v neziskovém sektoru";"Mníšek pod Brdy";540765;5;5;"A";104;0;1.1;"N";0;0
2;9;31;"Karolína";"Nováková";"";"";25;"studentka lékaøské fakulty";"Øíèany";538728;5;5;"A";195;0;2.07;"N";0;0
2;9;32;"Jiøí";"Klemeš";"";"";45;"manaer";"Dobrovice";535672;5;5;"A";9;0;.09;"N";0;0
2;9;33;"Martin";"Robeš";"Bc.";"";44;"projektovı manaer, èlen rady mìsta";"Lysá nad Labem";537454;5;5;"A";15;0;.15;"N";0;0
2;9;34;"Vojtìch";"Ušela";"Bc.";"";36;"country manaer CZ & SK";"Mníšek pod Brdy";540765;5;5;"A";24;0;.25;"N";0;0
2;10;1;"Jitka";"Lenková";"JUDr.";"";54;"právník";"Statenice";539686;99;137;"A";195;0;3.83;"N";0;0
2;10;2;"Jiøí";"Somberg";"MUDr.";"";56;"chirurg, vedoucí lékaø";"Kosmonosy";570826;99;137;"A";206;0;4.05;"N";0;0
2;10;3;"Alena";"Drvotová";"Ing.";"";62;"OSVÈ, soudní znalec";"Kladno";532053;79;137;"A";106;0;2.08;"N";0;0
2;10;4;"Miloslav";"Hudec";"";"";50;"pøedseda pøedstavenstva, instruktor lukostøelby";"Nymburk";537004;99;137;"A";72;0;1.41;"N";0;0
2;10;5;"Martin";"Rubeš";"Bc.";"";50;"politolog";"Doubravèice";533301;1123;137;"A";49;0;.96;"N";0;0
2;10;6;"Jiøí";"Janù";"Ing.";"";63;"odbornı lesní hospodáø";"Kosova Hora";540498;137;137;"A";82;0;1.61;"N";0;0
2;10;7;"Jaromíra";"Mušková";"Ing.";"";52;"støedoškolská uèitelka";"Dolní Bousov";535702;99;137;"A";82;0;1.61;"N";0;0
2;10;8;"Jaroslav";"Kratochvíla";"";"DiS.";53;"uèitel hudby";"Kolín";533165;99;137;"A";61;0;1.2;"N";0;0
2;10;9;"Václav";"Pomma";"Ing.";"";56;"støedoškolskı uèitel";"Hoøovice";531189;99;137;"A";42;0;.82;"N";0;0
2;10;10;"Veronika";"Vaštová";"MUDr.";"";45;"lékaø, ortoped";"Tuchlovice";532983;99;137;"A";122;0;2.4;"N";0;0
2;10;11;"Jan";"Èíek";"";"";30;"univerzální obrábìè strojù";"Mladá Boleslav";535419;99;137;"A";77;0;1.51;"N";0;0
2;10;12;"Roman";"Fronìk";"";"";59;"ivnostník";"Beroun";531057;99;137;"A";35;0;.68;"N";0;0
2;10;13;"Pavel";"Tobiáš";"";"";48;"brusiè skla";"Nymburk";537004;79;137;"A";80;0;1.57;"N";0;0
2;10;14;"Miroslav";"Rainer";"";"";71;"dùchodce";"Vrbová Lhota";537977;79;137;"A";21;0;.41;"N";0;0
2;10;15;"Andrea";"Èápová";"";"";45;"podnikatelka";"Slanı";532819;99;137;"A";32;0;.62;"N";0;0
2;10;16;"Josef";"Musil";"";"";51;"ivnostník, zednickı mistr";"Novı Knín";540901;99;137;"A";28;0;.55;"N";0;0
2;10;17;"Václav";"Pivoòka";"";"";65;"kováø";"Kšely";571717;99;137;"A";34;0;.66;"N";0;0
2;10;18;"Hana";"Pumanová";"";"";57;"ivnostník";"Rakovník";541656;99;137;"A";29;0;.57;"N";0;0
2;10;19;"Drahomíra";"Majerová";"";"";62;"stavaø";"Pøíbram";539911;99;137;"A";23;0;.45;"N";0;0
2;10;20;"Martin";"Boøil";"";"";48;"pracovník ostrahy";"Kutná Hora";533955;99;137;"A";29;0;.57;"N";0;0
2;10;21;"Sandra";"Vališová";"";"";35;"propagaèní vıtvarnice, skladatelka a textaøka";"Mladá Boleslav";535419;99;137;"A";48;0;.94;"N";0;0
2;10;22;"Patrik";"Šimùnek";"";"DiS.";27;"herec a moderátor";"Dobrovice";535672;79;137;"A";62;0;1.22;"N";0;0
2;10;23;"Dagmar";"Vlašicová";"";"";44;"asistentka prodeje";"Benešov";529303;99;137;"A";20;0;.39;"N";0;0
2;10;24;"Jaroslav";"Burian";"Ing.";"";54;"projektovı manaer";"Dubenec";598381;99;137;"A";18;0;.35;"N";0;0
2;10;25;"Petr";"Bernard";"";"";43;"podnikatel";"Mladá Boleslav";535419;99;137;"A";29;0;.57;"N";0;0
2;10;26;"Pavel";"Krešne";"";"";50;"dìlník, pøedseda KSH";"Kladno";532053;141;137;"N";0;0;0;"N";0;0
2;10;27;"Ladislav";"Šedı";"";"";49;"pøijímací technik";"Všetaty";535320;99;137;"A";22;0;.43;"N";0;0
2;10;28;"Petr";"Semerád";"";"";32;"OSVÈ";"Èáslav";534005;79;137;"A";62;0;1.22;"N";0;0
2;10;29;"Martin";"ejdlík";"";"";46;"OSVÈ";"áky";534641;79;137;"A";19;0;.37;"N";0;0
2;10;30;"František";"Hucek";"";"";45;"administrativní pracovník, zastupitel obce";"Pøezletice";538671;99;137;"A";9;0;.17;"N";0;0
2;10;31;"Vìra";"Hladká";"";"";50;"provozní technik";"Pøezletice";538671;99;137;"A";13;0;.25;"N";0;0
2;10;32;"Pavel";"Èervenka";"";"";42;"stavební technik, technik bytovıch staveb";"Nymburk";537004;99;137;"A";17;0;.33;"N";0;0
2;10;33;"Michal";"Ort";"";"";37;"technik 3D mìøení";"Mladá Boleslav";535419;79;137;"A";17;0;.33;"N";0;0
2;10;34;"Lenka";"Jandová";"";"";52;"pracovnice skladu";"Bakov nad Jizerou";535427;99;137;"A";15;0;.29;"N";0;0
2;12;1;"Luboš";"Zálom";"Mgr.";"";36;"IT specialista, ivnostník";"Beroun";531057;714;714;"A";474;0;4.43;"N";0;0
2;12;2;"Petr";"Zavadil";"";"";57;"ivnostník, èlen Kontrolního vıboru zastupitelstva";"Mìšice";538477;714;714;"A";233;0;2.18;"N";0;0
2;12;3;"Daniel";"Šíma";"Ing.";"";28;"ekonomickı analytik";"Hostivice";539244;714;714;"A";242;0;2.26;"N";0;0
2;12;4;"Jiøí";"Oukropec";"Ing.";"";28;"oceòování v oboru ekonomika";"Králùv Dvùr";533203;714;714;"A";195;0;1.82;"N";0;0
2;12;5;"Radim";"Fedoroviè";"";"";32;"jednatel obchodní spoleènosti a radní mìsta";"Kutná Hora";533955;714;714;"A";89;0;.83;"N";0;0
2;12;6;"Markéta";"Chvalovská";"";"";35;"vedoucí vıroby a vıvoje, zastupitelka obce Zlonín";"Zlonín";539082;714;714;"A";150;0;1.4;"N";0;0
2;12;7;"Milan";"Vodièka";"Ing.";"CSc.";68;"ekonom";"Øíèany";538728;714;714;"A";145;0;1.35;"N";0;0
2;12;8;"Jan";"Loder";"";"";33;"podnikatel";"Rakovník";541656;714;714;"A";64;0;.59;"N";0;0
2;12;9;"Karel";"Beneš";"MUDr.";"";66;"lékaø";"Pøíbram";539911;714;714;"A";153;0;1.43;"N";0;0
2;12;10;"Jan";"Matìjka";"";"";27;"programátor";"Kladno";532053;714;714;"A";142;0;1.32;"N";0;0
2;12;11;"Jakub";"Cyrani";"";"";38;"ivnostník";"Roztoky";539627;714;714;"A";72;0;.67;"N";0;0
2;12;12;"Martin";"Kovaøík";"Ing.";"";47;"ekonom";"Kladno";532053;714;714;"A";102;0;.95;"N";0;0
2;12;13;"Ivana";"Burešová Marková";"";"";41;"ivnostník";"Mladá Boleslav";535419;714;714;"A";125;0;1.17;"N";0;0
2;12;14;"Jiøí";"Vodièka";"Ing.";"";55;"chemickı inenır";"Liteò";531456;714;714;"A";50;0;.46;"N";0;0
2;12;15;"Lukáš";"Abík";"";"";40;"ivnostník";"Mladá Boleslav";535419;714;714;"A";64;0;.59;"N";0;0
2;12;16;"Martin";"Morozoviè";"Ing.";"";53;"IT konzultant";"Beroun";531057;714;714;"A";45;0;.42;"N";0;0
2;12;17;"Pavel";"Mattivi";"";"";37;"IT manaer";"Milovice";537501;714;714;"A";38;0;.35;"N";0;0
2;12;18;"Tomáš";"Pavlis";"Ing.";"";35;"ivnostník, informaèní technologie";"Vlašim";530883;714;714;"A";61;0;.57;"N";0;0
2;12;19;"Pavel";"Otta";"Ing.";"";28;"vızkumník";"Velkı Osek";533840;714;714;"A";63;0;.58;"N";0;0
2;12;20;"Martin";"Javùrek";"";"";29;"student psycho., asist. poslance EP, pøeds. organ.";"Kostelec nad Labem";534935;714;714;"A";115;0;1.07;"N";0;0
2;12;21;"Oldøich";"Duchoò";"";"";51;"elektromontér";"Tmaò";531855;714;714;"A";26;0;.24;"N";0;0
2;12;22;"František";"Kettner";"";"";41;"dìlník";"Horní Poèaply";534790;714;714;"A";39;0;.36;"N";0;0
2;12;23;"Jan";"Matyásko";"Bc.";"";29;"energetickı analytik, lektor";"Mladá Boleslav";535419;714;714;"A";82;0;.76;"N";0;0
2;12;24;"Karel";"Vlk";"Mgr.";"";49;"analytic business intelligence";"Nehvizdy";538540;714;714;"A";41;0;.38;"N";0;0
2;12;25;"Petr";"Krešòák";"Ing.";"";56;"technickı øeditel";"Vestec";537942;714;714;"A";25;0;.23;"N";0;0
2;12;26;"Josef";"Trochta";"Ing. et Ing.";"MBA";41;"OSVÈ";"Vlašim";530883;714;714;"A";59;0;.55;"N";0;0
2;12;27;"Jan";"Rathouskı";"";"";33;"system. administrator";"Øíèany";538728;714;714;"A";41;0;.38;"N";0;0
2;12;28;"Jana";"Urzová";"Mgr.";"";46;"asistentka ÈVUT, uèitelka na VŠ a SŠ";"Kladno";532053;714;714;"A";140;0;1.31;"N";0;0
2;12;29;"Jakub";"Chromec";"Ing.";"";25;"elektrotechnik, ekonom, podnikatel";"Bradlec";570788;714;714;"A";47;0;.44;"N";0;0
2;12;30;"Lukáš";"Hamouz";"";"";25;"obchodník";"Rakovník";541656;714;714;"A";38;0;.35;"N";0;0
2;12;31;"Tomáš";"Kròávek";"Ing.";"";31;"key account manager";"Hıskov";531243;714;714;"A";37;0;.34;"N";0;0
2;12;32;"Jan";"Pánek";"Bc.";"";49;"informatik";"Slanı";532819;714;714;"A";31;0;.29;"N";0;0
2;12;33;"Matìj";"Gumulák";"";"";35;"koordinátor štíhlé vıroby";"Luštìnice";536270;714;714;"A";17;0;.15;"N";0;0
2;12;34;"Rostislav";"Sikora";"";"";41;"business development director";"Vysokı Újezd";513482;714;714;"A";14;0;.13;"N";0;0
2;13;1;"Jana";"Volfová";"Mgr.";"";59;"uèitelka, místopøedsedkynì Bloku proti islámu";"Praha";1;759;155;"A";32;0;4.69;"N";0;0
2;13;2;"Libor";"Skrunı";"";"";50;"tiskaø";"Zlonín";539082;99;155;"A";24;0;3.51;"N";0;0
2;13;3;"Ladislav";"Eliáš";"";"";40;"jednatel firmy";"Mladá Boleslav";535419;99;155;"A";21;0;3.07;"N";0;0
2;13;4;"Roman";"Foff";"Ing.";"";50;"jednatel";"Tınec nad Labem";533807;99;155;"A";12;0;1.75;"N";0;0
2;13;5;"Pavel";"Havránek";"";"";42;"místostarosta obce, IT specialista";"Ptice";532789;759;155;"A";14;0;2.05;"N";0;0
2;13;6;"Pavla";"Mansfeldová";"";"";51;"úèetní";"Strá pod Ralskem";562092;99;155;"A";5;0;.73;"N";0;0
2;13;7;"Lukáš";"Smìlı";"";"";38;"správce budov";"Køesetice";534161;99;155;"A";4;0;.58;"N";0;0
2;13;8;"Josef";"Zikmund";"";"";42;"OSVÈ";"Mladá Boleslav";535419;769;155;"A";12;0;1.75;"N";0;0
2;13;9;"Michaela";"Hofmanová";"";"";37;"managerka";"Milovice";537501;99;155;"A";7;0;1.02;"N";0;0
2;13;10;"Roman";"Doba";"Ing.";"";46;"státní zamìstnanec";"Kladno";532053;99;155;"A";9;0;1.31;"N";0;0
2;13;11;"Peter";"Spálenka";"Ing.";"";70;"technik";"Praha";1;792;155;"A";4;0;.58;"N";0;0
2;13;12;"Jan";"Kuøátko";"";"";22;"student";"Praha";1;99;155;"A";8;0;1.17;"N";0;0
2;13;13;"Josef";"Syrovı";"";"";57;"majitel autodopravy";"Uhlíøské Janovice";534498;99;155;"A";14;0;2.05;"N";0;0
2;13;14;"Libor";"Houha";"";"";28;"student";"Slanı";532819;99;155;"N";0;0;0;"N";0;0
2;13;15;"Veronika";"Kormošová";"";"";31;"recepèní";"Kutná Hora";533955;99;155;"A";4;0;.58;"N";0;0
2;13;16;"Milena";"Šmejcová";"";"";56;"dìlnice";"Kralupy nad Vltavou";534951;99;155;"A";3;0;.43;"N";0;0
2;13;17;"Miroslav";"Šùcha";"";"";40;"technik";"Kolín";533165;99;155;"A";3;0;.43;"N";0;0
2;13;18;"Pavel";"Šmejc";"";"";61;"zamìstnanec bezpeènostní agentury";"Kralupy nad Vltavou";534951;99;155;"A";3;0;.43;"N";0;0
2;13;19;"Zdeòka";"Edrová";"";"";58;"operátorka";"Kolín";533165;99;155;"A";2;0;.29;"N";0;0
2;13;20;"Pavel";"Melichar";"";"";31;"øidiè";"Úmonín";534501;99;155;"A";4;0;.58;"N";0;0
2;13;21;"Eva";"Veselovská";"";"";43;"signalistka S";"Slanı";532819;99;155;"A";3;0;.43;"N";0;0
2;13;22;"Pavel";"Vojík";"Ing.";"";50;"státní zamìstnanec";"Úice";535257;759;155;"A";2;0;.29;"N";0;0
2;13;23;"Hana";"Bártová";"";"";38;"mateøská dovolená";"Køesetice";534161;99;155;"A";5;0;.73;"N";0;0
2;13;24;"Monika";"Houhová";"";"";46;"rehabilitaèní sestra";"Slanı";532819;99;155;"N";0;0;0;"N";0;0
2;13;25;"Slavomír";"Horskı";"";"";57;"dùchodce";"Kolín";533165;99;155;"A";4;0;.58;"N";0;0
2;13;26;"Richard";"Špirk";"";"";60;"dùchodce";"Praha";1;99;155;"A";0;0;0;"N";0;0
2;13;27;"Jiøí";"Vybíral";"";"";23;"dìlník ve vırobì";"Kolín";533165;99;155;"A";5;0;.73;"N";0;0
2;13;28;"Pavel";"Veèeøa";"";"";29;"seøizovaè CNC";"Kolín";533165;99;155;"A";4;0;.58;"N";0;0
2;13;29;"Petr";"Pospíšil";"";"";34;"pomocná síla";"leby";534668;99;155;"A";2;0;.29;"N";0;0
2;13;30;"Václav";"Smìlı";"";"";60;"automechanik";"Køesetice";534161;99;155;"A";1;0;.14;"N";0;0
2;13;31;"Petr";"Novotnı";"";"";51;"podnikatel";"Praha";1;99;155;"A";0;0;0;"N";0;0
2;13;32;"Petr";"Marek";"";"";53;"instalatér";"Jílovištì";539341;792;155;"A";1;0;.14;"N";0;0
2;13;33;"Radim";"Štefek";"";"";51;"automechanik";"Praha";1;99;155;"A";1;0;.14;"N";0;0
2;14;1;"Vladimír";"Novák";"";"";40;"øeditel hotelu";"Lány";541991;1173;1173;"A";25;0;2.9;"N";0;0
2;14;2;"Petra";"Kladivová";"Ing.";"";27;"podnikatelka";"Kopøivnice";599565;1173;1173;"A";20;0;2.32;"N";0;0
2;14;3;"Pøemysl";"Mrzena";"";"";40;"vydavatel èasopisu";"Svìtice";538841;1173;1173;"A";12;0;1.39;"N";0;0
2;14;4;"Karel";"Waisser";"Mgr.";"";46;"øeditel pojišovny";"Nuèice";531618;99;1173;"A";9;0;1.04;"N";0;0
2;14;5;"Michal";"Resl";"Dr.";"";64;"øeditel firmy";"Øevnice";539643;1173;1173;"A";2;0;.23;"N";0;0
2;14;6;"Pavel";"Balák";"";"";51;"ekonom";"Èerèany";529516;99;1173;"A";6;0;.69;"N";0;0
2;14;7;"Radim";"Herbst";"";"";53;"manaer v pojišovnictví";"Praha";1;99;1173;"A";0;0;0;"N";0;0
2;14;8;"David";"Bahenskı";"";"";35;"manaer";"Øíèany";538728;1173;1173;"A";8;0;.92;"N";0;0
2;14;9;"Petr";"Maule";"Ing.";"LL.M., MBA";53;"øeditel Èeské fotovoltaické asociace";"Plzeò";2;99;1173;"A";3;0;.34;"N";0;0
2;14;10;"Martin";"Malı";"";"M.Sc., BA";45;"manaer";"Chyòava";531294;1173;1173;"A";9;0;1.04;"N";0;0
2;14;11;"Aleš";"Zahajskı";"";"";59;"organizátor soutìe Stavba roku";"Kolín";533165;1173;1173;"A";7;0;.81;"N";0;0
2;14;12;"Pavel";"Jíša";"Ing.";"";29;"podnikatel";"Praha";1;1173;1173;"A";13;0;1.5;"N";0;0
2;14;13;"Ondøej";"Navrátil";"";"";30;"investièní poradce";"Praha";1;1173;1173;"A";4;0;.46;"N";0;0
2;14;14;"Markéta";"Horáèková";"";"DiS.";35;"manaerka obchodu";"Kamenice";538299;1173;1173;"A";2;0;.23;"N";0;0
2;14;15;"Iva";"Sehnalová";"Ing.";"";52;"vzdìlávání dospìlıch";"Praha";1;1173;1173;"A";10;0;1.16;"N";0;0
2;14;16;"Jiøí";"Hyhlík";"";"";58;"pojišovací zprostøedkovatel";"Nymburk";537004;1173;1173;"A";0;0;0;"N";0;0
